triple_id,id,claim_id,book_name,s,p,o,time_bucket,polarity,confidence,evidence_confidence,chunk_id,excerpt_span,excerpt_text,chapter_id,chunk_pos,support_label,run_id,best_rank,is_best
t_00001,106,106_c02,The Count of Monte Cristo,Noirtier,Claim,Noirtier though on opposite sides they used each other.,EARLY,POS,0.8216547336342914,0.7504420960979754,montecristo_ch118_w0290,"[1843, 1980]","Franz and Albert were opposite the Via delle Muratte; the coachman, without saying a word, drove up it, passed along the Piazza di Spagna",ch118,0.32039,SUPPORT,run_20260225_221138,3,False
t_00002,106,106_c02,The Count of Monte Cristo,Noirtier,Claim,Noirtier though on opposite sides they used each other.,EARLY,POS,0.8732699287883454,0.8979140822524152,montecristo_ch117_w0061,"[63, 1194]","“’Tis true, madame,” answered he, “that my father was a Girondin, but he was not among the number of those who voted for the king’s death; he was an equal sufferer with yourself during the Reign of Terror, and had well-nigh lost his head on the same scaffold on which your father perished.” “True,” replied the marquise, without wincing in the slightest degree at the tragic remembrance thus called up; “but bear in mind, if you please, that our respective parents underwent persecution and proscription from diametrically opposite principles; in proof of which I may remark, that while my family remained among the staunchest adherents of the exiled princes, your father lost no time in joining the new government; and that while the Citizen Noirtier was a Girondin, the Count Noirtier became a senator.” “Dear mother,” interposed Renée, “you know very well it was agreed that all these disagreeable reminiscences should forever be laid aside.” “Suffer me, also, madame,” replied Villefort, “to add my earnest request to Mademoiselle de Saint-Méran’s, that you will kindly allow the veil of oblivion to cover and conceal the past.",ch117,0.040973,SUPPORT,run_20260225_221138,2,False
t_00003,106,106_c02,The Count of Monte Cristo,Noirtier,Claim,Noirtier though on opposite sides they used each other.,LATE,POS,0.8051612497571525,0.7033178564490072,montecristo_ch118_w0944,"[1610, 1810]","“I see!” said he, “there are two of them; one does the work while the other stands guard.” He made a sign to Ali not to lose sight of the man in the street, and turned to the one in the dressing-room.",ch118,0.739906,SUPPORT,run_20260225_221138,4,False
t_00004,106,106_c02,The Count of Monte Cristo,Noirtier,Claim,Noirtier though on opposite sides they used each other.,EARLY,POS,0.7808354029180504,0.6338154369087152,montecristo_ch117_w0058,"[1428, 2143]","“Ah,” said the Marquise de Saint-Méran, a woman with a stern, forbidding eye, though still noble and distinguished in appearance, despite her fifty years—“ah, these revolutionists, who have driven us from those very possessions they afterwards purchased for a mere trifle during the Reign of Terror, would be compelled to own, were they here, that all true devotion was on our side, since we were content to follow the fortunes of a falling monarch, while they, on the contrary, made their fortune by worshipping the rising sun; yes, yes, they could not help admitting that the king, for whom we sacrificed rank, wealth, and station was truly our ‘Louis the well-beloved,’ while their wretched usurper has been, and",ch117,0.038975,SUPPORT,run_20260225_221138,5,False
t_00005,106,106_c03,The Count of Monte Cristo,Noirtier,Claim,Noirtier exploiting Fernand's military information.,MID,POS,0.8779300704506845,0.9112287727162415,montecristo_ch118_w0653,"[488, 867]","“Was not your father a Bonapartist?” asked Monte Cristo; “I think I remember that you told me something of that kind.” “My father has been a Jacobin more than anything else,” said Villefort, carried by his emotion beyond the bounds of prudence; “and the senator’s robe, which Napoleon cast on his shoulders, only served to disguise the old man without in any degree changing him.",ch118,0.552998,SUPPORT,run_20260225_221138,1,True
t_00006,107,107_c03,The Count of Monte Cristo,Noirtier,Claim,Noirtier turned to family affairs.,MID,POS,0.8796342657603857,0.9160979021725307,montecristo_ch118_w0631,"[1481, 1684]","Noirtier and the elder d’Épinay, well understood the agitation and anger which the announcement had produced; but, feigning not to perceive either, he immediately resumed the narrative begun by his wife.",ch118,0.538789,SUPPORT,run_20260225_221138,1,True
t_00007,107,107_c03,The Count of Monte Cristo,Noirtier,Claim,Noirtier turned to family affairs.,LATE,POS,0.874480193151125,0.9013719804317855,montecristo_ch118_w0915,"[0, 252]","for you are as a twofold bandage over my eyes; well——” “Oh, speak, speak, doctor; I shall have courage.” “Well, sir, you have in your establishment, or in your family, perhaps, one of the frightful monstrosities of which each century produces only one.",ch118,0.721403,SUPPORT,run_20260225_221138,2,False
t_00008,107,107_c03,The Count of Monte Cristo,Noirtier,Claim,Noirtier turned to family affairs.,MID,POS,0.8728339602767761,0.8966684579336458,montecristo_ch118_w0743,"[919, 1240]","But my mother—no, not my mother; I mistake—my father intends giving a ball.” “A ball at this season?” “Summer balls are fashionable.” “If they were not, the countess has only to wish it, and they would become so.” “You are right; You know they are select affairs; those who remain in Paris in July must be true Parisians.",ch118,0.610671,SUPPORT,run_20260225_221138,3,False
t_00009,107,107_c03,The Count of Monte Cristo,Noirtier,Claim,Noirtier turned to family affairs.,MID,POS,0.8398133628166766,0.8023238937619329,montecristo_ch118_w0642,"[501, 896]","“Yes,” said the procureur, “and I think the will promises to be yet more extraordinary, for I cannot see how it is to be drawn up without the intervention of Valentine, and she may, perhaps, be considered as too much interested in its contents to allow of her being a suitable interpreter of the obscure and ill-defined wishes of her grandfather.” “No, no, no,” replied the eye of the paralytic.",ch118,0.545829,SUPPORT,run_20260225_221138,4,False
t_00010,107,107_c03,The Count of Monte Cristo,Noirtier,Claim,Noirtier turned to family affairs.,MID,POS,0.8362790664228839,0.7922259040653823,montecristo_ch118_w0654,"[154, 368]","de Villefort formed the idea of uniting in the bonds of affection the two children of these inveterate enemies.” “It was a sublime and charitable thought,” said Monte Cristo, “and the whole world should applaud it.",ch118,0.553666,SUPPORT,run_20260225_221138,5,False
