id,book_name,mention,canonical_entity,entity_type,confidence,run_id
46,In search of the castaways,Thalcave,Thalcave,CHAR,1.0,run_20260112_111511
46,In search of the castaways,Mr Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
46,In search of the castaways,Mr. Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
46,In search of the castaways,Mrs Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
46,In search of the castaways,Mrs. Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
46,In search of the castaways,Ms Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
46,In search of the castaways,Ms. Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
46,In search of the castaways,Miss Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
46,In search of the castaways,Count Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
46,In search of the castaways,Captain Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
46,In search of the castaways,Doctor Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
46,In search of the castaways,Dr Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
46,In search of the castaways,Dr. Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
46,In search of the castaways,Sir Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
46,In search of the castaways,Madam Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
46,In search of the castaways,Monsieur Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
46,In search of the castaways,Mademoiselle Thalcave,Thalcave,CHAR,0.25,run_20260112_111511
137,The Count of Monte Cristo,Faria,Faria,CHAR,1.0,run_20260112_111511
137,The Count of Monte Cristo,Mr Faria,Faria,CHAR,0.25,run_20260112_111511
137,The Count of Monte Cristo,Mr. Faria,Faria,CHAR,0.25,run_20260112_111511
137,The Count of Monte Cristo,Mrs Faria,Faria,CHAR,0.25,run_20260112_111511
137,The Count of Monte Cristo,Mrs. Faria,Faria,CHAR,0.25,run_20260112_111511
137,The Count of Monte Cristo,Ms Faria,Faria,CHAR,0.25,run_20260112_111511
