id,split,prediction,evidence_score,support_weight,contradict_weight,neutral_weight,support_n,contradict_n,neutral_n,status,hard_violations,soft_violations,logic_conf,rationale
2,test,1,-27.039551617724015,0.0,14.830879813441083,17.48138672772101,0,17,19,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
3,test,1,-14.029637308799108,0.0,8.066764791811837,14.025948498830436,0,9,15,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
7,test,1,-36.06710106934466,0.0,19.069770086722198,13.81626069399826,0,21,15,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
15,test,1,-2.023454855465585,0.0,1.702999688024045,9.216963470550033,0,2,10,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
16,test,1,-0.30344202243130036,0.0,1.7032729622110998,20.687359346605994,0,2,22,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
21,test,0,-41.69803970454311,0.0,20.908828300854772,0.7974459811095163,0,23,1,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
22,test,1,-19.41954074863674,0.0,11.319169806904915,21.45865910115393,0,13,23,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
24,test,1,-10.022768400608658,0.0,6.201067066875183,15.862438220944723,0,7,17,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
27,test,1,-20.314498883293417,0.0,10.989378449318968,11.095053435630126,0,12,12,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
28,test,0,-71.12529205936357,0.7109157638401662,36.3970561849952,6.38603031191111,1,40,7,SAT,0,0,0.8078,Mixed evidence (support/neutral with contradictions); prediction uses score/threshold.
30,test,0,-56.550774461726235,0.0,29.400756683042545,15.004926029059027,0,32,16,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
33,test,1,-7.825506988675705,0.0,4.407815689676896,6.600829271187253,0,5,7,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
37,test,0,-76.19670599912862,0.0,40.05434440859066,26.079885453684593,0,44,28,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
38,test,0,-42.46611167617701,0.0,22.077342347124375,11.257153453811611,0,24,12,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
42,test,1,-32.07584767536251,0.7258893844653683,17.520920662650468,14.934028436487033,1,19,16,SAT,0,0,0.8131,Mixed evidence (support/neutral with contradictions); prediction uses score/threshold.
44,test,0,-39.7615902978497,0.6951020184316057,21.078621811336756,11.337008709281378,1,23,12,SAT,0,0,0.8023,Mixed evidence (support/neutral with contradictions); prediction uses score/threshold.
47,test,1,-31.6946556077207,0.0,16.18857780386035,4.55,0,17,7,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
49,test,1,-2.690335339676557,0.0,1.9273375244809268,7.7622647285686455,0,2,10,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
51,test,1,-17.55567441069417,0.0,9.460337205347084,9.1,0,10,14,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
52,test,1,-10.068231457659934,0.0,6.110685460153168,14.354263084309343,0,7,17,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
53,test,1,-19.31127206742395,0.0,11.330995748295445,22.33812952777961,0,12,24,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
56,test,1,-22.104325758883718,0.0,11.746280488285054,9.25490145124261,0,13,11,SAT,0,0,0.0,Neutral/contradict mix; score penalizes contradictions.
