id,prediction,split,dossier_path
1,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/1.md
2,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/2.md
3,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/3.md
4,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/4.md
5,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/5.md
6,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/6.md
7,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/7.md
8,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/8.md
9,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/9.md
10,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/10.md
11,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/11.md
12,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/12.md
13,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/13.md
14,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/14.md
15,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/15.md
16,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/16.md
17,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/17.md
18,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/18.md
19,1,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/19.md
20,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/20.md
21,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/21.md
22,1,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/22.md
23,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/23.md
24,0,test,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/24.md
25,0,train,/workspace/kdsh_trackA_data_centric/data/gold/run_id=run_20260201_223201/dossier/25.md
