triple_id,id,claim_id,book_name,s,p,o,time_bucket,polarity,confidence,chunk_id,excerpt_span,excerpt_text,chapter_id,chunk_pos,support_label,run_id,best_rank,is_best
t_00001,46,46_c03,In search of the castaways,Thalcave,Died,True,EARLY,POS,0.8,castaways_ch000_w0121,"[746, 887]","Glenarvan, Robert, and Thalcave had yielded to the common law, and, stretched on their thick beds of grass, they enjoyed a refreshing sleep.",ch000,0.260441,NEUTRAL,run_20260112_111511,1,True
t_00002,46,46_c04,In search of the castaways,Thalcave,Claim,Boyhood was spent roaming the plains with his father,EARLY,POS,0.8074950240429042,castaways_ch000_w0107,"[141, 192]","""With the cazique Calfoucoura,"" answered Thalcave.",ch000,0.230501,SUPPORT,run_20260112_111511,1,True
t_00003,46,46_c05,In search of the castaways,Thalcave,Claim,steer by the stars.,EARLY,POS,0.799130348443985,castaways_ch000_w0121,"[746, 887]","Glenarvan, Robert, and Thalcave had yielded to the common law, and, stretched on their thick beds of grass, they enjoyed a refreshing sleep.",ch000,0.260441,SUPPORT,run_20260112_111511,2,False
t_00004,74,74_c01,In search of the castaways,Kai-Koumou,Claim,Before each fight he studied the crack-patterns of his mother's shark-tooth necklace by moonlight to divine the outcome.,LATE,POS,0.8199823562133154,castaways_ch000_w0381,"[0, 92]","were not more precious than yours!"" cried Kai-Koumou, whose eyes expressed a fierce regret.",ch000,0.819412,SUPPORT,run_20260112_111511,1,True
t_00005,104,104_c02,The Count of Monte Cristo,Noirtier,Died,True,LATE,POS,0.8,montecristo_ch000_w1047,"[420, 1319]","“‘Signed, Beaurepaire, Duchampy, and Lecharpal.’” When Franz had finished reading this account, so dreadful for a son; when Valentine, pale with emotion, had wiped away a tear; when Villefort, trembling, and crouched in a corner, had endeavored to lessen the storm by supplicating glances at the implacable old man,— “Sir,” said d’Épinay to Noirtier, “since you are well acquainted with all these details, which are attested by honorable signatures,—since you appear to take some interest in me, although you have only manifested it hitherto by causing me sorrow, refuse me not one final satisfaction—tell me the name of the president of the club, that I may at least know who killed my father.” Villefort mechanically felt for the handle of the door; Valentine, who understood sooner than anyone her grandfather’s answer, and who had often seen two scars upon his right arm, drew back a few steps.",ch000,0.670657,NEUTRAL,run_20260112_111511,1,True
t_00006,104,104_c02,The Count of Monte Cristo,Noirtier,Died,True,LATE,POS,0.7952478966747095,montecristo_ch000_w1048,"[880, 978]","Noirtier—you killed my father?” “Yes!” replied Noirtier, fixing a majestic look on the young man.",ch000,0.67132,NEUTRAL,run_20260112_111511,4,False
t_00007,104,104_c02,The Count of Monte Cristo,Noirtier,Died,True,LATE,POS,0.8,montecristo_ch000_w1048,"[159, 276]","Sir, sir,” cried he, turning to Noirtier, “do what you can—make me understand in some way!” “Yes,” replied Noirtier.",ch000,0.67132,NEUTRAL,run_20260112_111511,2,False
t_00008,104,104_c02,The Count of Monte Cristo,Noirtier,Died,True,MID,POS,0.8,montecristo_ch000_w0842,"[0, 850]","in our plans, and we have fully ascertained beforehand that Valentine’s future husband will consent, not to live in this house, for that might not be pleasant for the young people, but that you should live with them; so that you and Valentine, who are so attached to each other, would not be separated, and you would be able to pursue exactly the same course of life which you have hitherto done, and thus, instead of losing, you will be a gainer by the change, as it will secure to you two children instead of one, to watch over and comfort you.” 30165m Noirtier’s look was furious; it was very evident that something desperate was passing in the old man’s mind, for a cry of anger and grief rose in his throat, and not being able to find vent in utterance, appeared almost to choke him, for his face and lips turned quite purple with the struggle.",ch000,0.538628,NEUTRAL,run_20260112_111511,3,False
t_00009,35,35_c01,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,The mutiny began when Captain Grant uncovered his forged logbook.,MID,POS,0.7831873227284539,castaways_ch000_w0298,"[349, 488]","Here is a mystery that the future will explain."" ""The police do not even know the identity of Ayrton and Ben Joyce,"" said Captain Mangles.",ch000,0.642586,SUPPORT,run_20260112_111511,3,False
t_00010,35,35_c02,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,threatened to report him.,MID,POS,0.7956173431433533,castaways_ch000_w0298,"[349, 488]","Here is a mystery that the future will explain."" ""The police do not even know the identity of Ayrton and Ben Joyce,"" said Captain Mangles.",ch000,0.642586,SUPPORT,run_20260112_111511,2,False
t_00011,35,35_c03,In search of the castaways,Tom Ayrton/Ben Joyce,Claim,marooning' was a botched silencing in which Ayrton,MID,POS,0.810014354671048,castaways_ch000_w0298,"[349, 488]","Here is a mystery that the future will explain."" ""The police do not even know the identity of Ayrton and Ben Joyce,"" said Captain Mangles.",ch000,0.642586,SUPPORT,run_20260112_111511,1,True
t_00012,18,18_c02,In search of the castaways,Jacques Paganel,Claim,saw his father's colleague dismissed.,EARLY,POS,0.7986691150299858,castaways_ch000_w0020,"[61, 445]","Lady Helena related the story of the document, how that the Britannia had been lost on the shores of Patagonia; in what way, after the shipwreck, the captain and two sailors, the only survivors, must have reached the continent; and, at last, how they implored the assistance of the whole world in this document, written in three languages, and abandoned to the caprices of the ocean.",ch000,0.044593,SUPPORT,run_20260112_111511,1,True
